"Ledger"				, "Account"										, "AccountDescription"																									, GL Date		, "Accounting  Class",	"Accounted DR"	,"Accounted CR"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-02-2024	, "Item Expense"	,	""				,	"268.95"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-02-2024, 	"Item Expense"	,	"268.95"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-02-2024	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-02-2024, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.9999.999.999.209185.9999.999.999.999.999", "AUPL_Panchkula_Org.Default.Default.Default.Payable - Creditors for E.Default.Default.Default.Default.Default"		, 06-02-2024, 	"Liability"		,	""				,	"20060.00"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 06-02-2024	, "Item Expense"	,	"20060.00"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-03-2024, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-03-2024	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-04-2024	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-04-2024, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-05-2024, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-05-2024	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-06-2024, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-06-2024	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-07-2024, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-07-2024	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-08-2024, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-08-2024	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-09-2024, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-09-2024	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-10-2024, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-10-2024	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-11-2024, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-11-2024	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-12-2024, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-12-2024	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-01-2025, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-01-2025	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-02-2025, 	"Item Expense"	,	"259.68"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-02-2025	, "Item Expense"	,	""				,	"259.68"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-03-2025, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-03-2025	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-04-2025, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-04-2025	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-05-2025, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-05-2025	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-06-2025, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-06-2025	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-07-2025, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-07-2025	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-08-2025, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-08-2025	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-09-2025, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-09-2025	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-10-2025, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-10-2025	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-11-2025, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-11-2025	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-12-2025, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-12-2025	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-01-2026, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-01-2026	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-02-2026, 	"Item Expense"	,	"259.68"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-02-2026	, "Item Expense"	,	""				,	"259.68"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-03-2026, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-03-2026	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-04-2026, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-04-2026	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-05-2026, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-05-2026	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-06-2026, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-06-2026	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-07-2026, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-07-2026	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-08-2026, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-08-2026	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-09-2026, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-09-2026	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-10-2026, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-10-2026	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-11-2026, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-11-2026	, "Item Expense"	,	""				,	"278.22"	,
