"Ledger"				, "Account"										, "AccountDescription"																									, GL Date		, "Accounting  Class",	"Accounted DR"	,"Accounted CR"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-12-2026, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-12-2026	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-01-2027, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-01-2027	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-02-2027, 	"Item Expense"	,	"259.68"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-02-2027	, "Item Expense"	,	""				,	"259.68"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-03-2027, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-03-2027	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-04-2027, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-04-2027	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-05-2027	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-05-2027, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-06-2027, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-06-2027	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-07-2027	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-07-2027, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-08-2027, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-08-2027	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-09-2027	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-09-2027, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-10-2027, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-10-2027	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-11-2027, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-11-2027	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-12-2027, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-12-2027	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-01-2028, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-01-2028	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-02-2028	, "Item Expense"	,	""				,	"268.95"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-02-2028, 	"Item Expense"	,	"268.95"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-03-2028	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-03-2028, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-04-2028, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-04-2028	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-05-2028, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-05-2028	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-06-2028, 	"Item Expense"	,	"9.27"			,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-06-2028	, "Item Expense"	,	""				,	"9.27"	    ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-07-2028, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-07-2028	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-08-2028, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-08-2028	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-09-2028	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-09-2028, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-10-2028	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-10-2028, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-11-2028, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-11-2028	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-12-2028, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-12-2028	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-01-2029, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-01-2029	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-02-2029, 	"Item Expense"	,	"259.68"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-02-2029	, "Item Expense"	,	""				,	"259.68"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-03-2029, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-03-2029	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-04-2029, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-04-2029	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-05-2029, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-05-2029	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-06-2029, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-06-2029	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-07-2029, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-07-2029	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-08-2029, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-08-2029	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-09-2029, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-09-2029	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-10-2029, 	"Item Expense"	,	"287.50"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-10-2029	, "Item Expense"	,	""				,	"287.50"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-11-2029, 	"Item Expense"	,	"278.22"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-11-2029	, "Item Expense"	,	""				,	"278.22"	,
"AUPL_Primary_Ledger"	, "118.1902.118.211.505705.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Rates & Taxes.Default.Default.Default.Default.Default"	, 01-12-2029, 	"Item Expense"	,	"287.55"		,	""	        ,
"AUPL_Primary_Ledger"	, "118.1902.118.211.207510.9999.999.999.999.999", "AUPL_Panchkula_Org.Panchkula.AUPL_Panchkula.Administration.Prepaid Expenses.Default.Default.Default.Default.Default"	, 01-12-2029	, "Item Expense"	,	""				,	"287.55"	,
